rendement,apport_perc,loyer_mensuel,cash_flow_annuel,doit_payer_impot,revenus_annuel,couts_annuel,taux_occupation,cash_a_sortir
0.055,0.15,765.5208000000001,766.3958568000016,False,9186.249600000001,8419.8537432,1.0,44622.72
0.06,0.15,835.1136,-103.5579744000006,False,10021.3632,10124.9211744,1.0,44622.72
0.06,0.15,835.1136,1456.8260255999994,False,10021.3632,8564.5371744,1.0,44622.72
0.065,0.15,904.7064,586.8721944000008,False,10856.4768,10269.6046056,1.0,44622.72
0.065,0.15,904.7064,2147.256194400001,False,10856.4768,8709.2206056,1.0,44622.72
0.07,0.15,974.2992,1277.3023632000004,False,11691.590400000001,10414.2880368,1.0,44622.72
0.07,0.15,974.2992,2837.6863632000022,False,11691.590400000001,8853.904036799999,1.0,44622.72
0.035,0.15,365.36220000000003,-4763.9616138,False,4384.3464,9148.3080138,0.75,44622.72
0.035,0.15,365.36220000000003,-3203.577613799999,False,4384.3464,7587.9240138,0.75,44622.72
0.045,0.15,469.75140000000005,-3728.316360599999,False,5637.0168,9365.3331606,0.75,44622.72
0.045,0.15,469.75140000000005,-2167.932360599999,False,5637.0168,7804.949160599999,0.75,44622.72
0.05,0.15,521.946,-3210.4937339999997,False,6263.352000000001,9473.845734,0.75,44622.72
0.05,0.15,521.946,-1650.1097339999988,False,6263.352000000001,7913.4617339999995,0.75,44622.72
0.055,0.15,574.1406000000001,-2692.6711073999995,False,6889.6872,9582.3583074,0.75,44622.72
0.055,0.15,574.1406000000001,-1132.2871073999986,False,6889.6872,8021.974307399999,0.75,44622.72
0.06,0.15,626.3352,-2174.848480800001,False,7516.0224,9690.870880800001,0.75,44622.72
0.06,0.15,626.3352,-614.4644807999994,False,7516.0224,8130.486880799999,0.75,44622.72
0.065,0.15,678.5298000000001,-1657.0258541999992,False,8142.357600000001,9799.3834542,0.75,44622.72
0.065,0.15,678.5298000000001,-96.6418541999974,False,8142.357600000001,8238.999454199999,0.75,44622.72
0.07,0.15,730.7244000000001,-1139.203227599999,False,8768.6928,9907.8960276,0.75,44622.72
0.07,0.15,730.7244000000001,421.18077240000275,False,8768.6928,8347.512027599998,0.75,44622.72
0.035,0.15,243.5748,-5972.2144092,False,2922.8976000000002,8895.1120092,0.5,44622.72
0.035,0.15,243.5748,-4411.830409199999,False,2922.8976000000002,7334.728009199999,0.5,44622.72
0.045,0.15,313.1676,-5281.784240400001,False,3758.0112,9039.795440400001,0.5,44622.72
0.045,0.15,313.1676,-3721.4002403999993,False,3758.0112,7479.411440399999,0.5,44622.72
0.05,0.15,347.964,-4936.5691560000005,False,4175.568,9112.137156,0.5,44622.72
0.05,0.15,347.964,-3376.1851559999996,False,4175.568,7551.753156,0.5,44622.72
0.055,0.15,382.76040000000006,-4591.3540716,False,4593.1248000000005,9184.4788716,0.5,44622.72
